Exercise,GymLevel,Equipment,ExerciseType,MovementType,Compound/Isolation,MuscleGroup,MajorMuscle,MinorMuscle,Beginner,Intermediate,Advanced,SL,GVT,MainLift
Step-Back Lunge,Basic,"Barbell,Body Weight,Dumbbells",Weight,Push,Compound,Legs,"Quads,Glutes,Calves",Core,0,0,1,1,1,No
Straightup Situp,Basic,Dumbbells,"Plyo,Weight",Pull,Compound,Full,"Full Body,Core",,0,0,1,0,0,No
Sumo Deadlift,Basic,"Barbell,Kettlebell",Weight,Pull,Compound,Legs,Hamstrings,"Upper Back,Mid Back,Traps",0,1,1,1,1,No
Sumo Squat,Basic,"Barbell,Dumbbells,Body Weight",Weight,Push,Compound,Legs,"Quads,Glutes","Inner Thigh,Outer Thigh,Calves",0,1,1,1,1,No
Superman,Gymless,Body Weight,Calisthenics,Hold,Isolation,"Core,Back","Core,Lower Back",,1,1,1,0,0,No
T-Bar Row,Full,T-Bar,Weight,Pull,Compound,Back,"Upper Back,Mid Back","Lower Back,Biceps",1,1,1,1,1,No
Thruster,Full,Landmine,Weight,Push,Compound,Legs,"Quads,Glutes",Triceps,0,1,1,1,1,No
Touchdown,Gymless,Body Weight,Plyo,Push,Compound,Cardio,Cardio,Legs,1,1,1,0,0,No
Tricep Dip / Dip Variation,Gymless,"Body Weight,Bench,Dip Bars,Barbell & Rack,Weight Belt",Calisthenics,Push,Compound,"Arms,Chest,Shoulders",Triceps,"Front Delt,Pecs",1,1,1,0,1,No
Tricep Overhead Press,Basic,Dumbbells,Weight,Push,Isolation,Arms,Triceps,,1,1,1,0,1,Yes
Tricep Pull Down,Basic,Cables,Weight,Push,Isolation,Arms,Triceps,,1,1,1,0,1,No
TRX / Ring Rear Delt Fly,Full,Rings/TRX,Calisthenics,Pull,Isolation,Shoulders,Rear Delt,"Upper Back,Traps",0,1,1,0,0,No
Tuck Jump,Gymless,Body Weight,Plyo,Cardio,Compound,Cardio,Full Body,"Quads,Glutes,Calves",1,1,1,0,0,No
Typewriter Pull Up / Variation,Gymless,Body Weight,Calisthenics,Pull,Compound,"Back,Shoulders","Lats,Mid Back","Biceps,Core",0,0,1,1,1,No
Upright Rows,Basic,"Barbell,Dumbbells,Cables,Kettlebells",Weight,Pull,Compound,"Back,Shoulders","Mid Delt,Mid Back,Traps",Upper Back,0,0,1,0,1,No
V-Pass,Full,Bosu Ball,Weight,Hold,Isolation,Core,Core,,0,0,1,0,0,No
Wall Ball,Full,Medicine Ball,Plyo,Push,Compound,Full,Full Body,,1,1,1,0,1,No
Wall Slam,Full,Medicine Ball,Plyo,Push,Compound,Core,Core,Cardio,1,1,1,0,1,No
Wall Walk,Gymless,Body Weight,Calisthenics,Push,Compound,"Full,Back","Full Body, Lats, Mid Back",Upper Back,0,0,1,0,0,No
Weighted Cable Crunch,Basic,Cables,Weight,Pull,Isolation,Core,Core,,1,1,1,1,1,No
Weighted Machine Situp,Full,"Machine,Plates,Bench",Weight,Pull,Isolation,Core,Core,,1,1,1,0,1,No
Wide Grip Cable Row,Basic,"Machine,Cables",Weight,Pull,Compound,Back,"Mid Back, Upper Back",Biceps,1,1,1,0,1,No
Wide Grip Pull Up,Gymless,Body Weight,Calisthenics,Pull,Compound,Back,"Lats,Mid Back","Biceps, Rear Delt",0,1,1,0,1,No
Hanging Leg Raises / Knee Raises,Gymless,Body Weight,Calisthenics,Pull,Compound,Core,Core,"Obliques,Forearms",1,1,1,1,1,Yes
Offset Dumbbell Squat,Basic,Dumbbells,Weight,Push,Compound,Core,Obliques,"Quads,Glutes,Calves",1,1,1,1,1,No
Side Hanging Leg Raise,Gymless,Body Weight,Calisthenics,Pull,Compound,Core,Obliques,"Core,Forearms",1,1,1,0,1,No
